Points_0,Pressure_Coefficient,,x/c,cp
1,0.186684,,0.9483,0.1008
0.990924,0.216817,,0.9,0.0279
0.978921,0.190877,,0.8503,-0.0038
0.963157,0.139615,,0.7998,-0.0378
0.942641,0.086945,,0.7497,-0.0731
0.916256,0.042018,,0.7003,-0.1027
0.882836,0.00514179,,0.6502,-0.1428
0.841316,-0.0287819,,0.5997,-0.1585
0.790952,-0.0638948,,0.5506,-0.1887
0.731603,-0.101148,,0.5,-0.2152
0.664007,-0.141233,,0.4503,-0.2371
0.589933,-0.183593,,0.4,-0.2716
0.512117,-0.22731,,0.3507,-0.2958
0.433912,-0.268475,,0.3002,-0.3257
0.358747,-0.309549,,0.2501,-0.355
0.289554,-0.345958,,0.2004,-0.3854
0.228367,-0.37477,,0.1504,-0.3986
0.17618,-0.395645,,0.1,-0.3949
0.133057,-0.401258,,0.0755,-0.3815
0.0983855,-0.390947,,0.051,-0.3522
0.0711583,-0.369676,,0.0251,-0.2208
0.0502224,-0.328363,,0.0122,0.007
0.0344451,-0.259147,,0,1.0184
0.0228094,-0.149187,,0.0135,0.0407
0.0144522,0.00798274,,0.0271,-0.1745
0.00866098,0.215028,,0.0515,-0.2864
0.00484455,0.505605,,0.0763,-0.3605
0.00249343,0.77566,,0.1012,-0.3644
0.00115919,0.97751,,0.1503,-0.3592
0.000469128,1.10884,,0.1994,-0.3618
0.000150079,1.18322,,0.2501,-0.3346
2.72E-05,1.19289,,0.2999,-0.3139
0,1.20868,,0.3499,-0.2805
2.72E-05,1.19289,,0.3994,-0.2606
0.000150079,1.18322,,0.4496,-0.23
0.000469128,1.10885,,0.4997,-0.2065
0.00115919,0.977513,,0.5492,-0.1737
0.00249343,0.775663,,0.5994,-0.1494
0.00484455,0.50561,,0.6495,-0.1278
0.00866098,0.215032,,0.6996,-0.0967
0.0144522,0.00798697,,0.7489,-0.0698
0.0228094,-0.149183,,0.8003,-0.0371
0.0344451,-0.259143,,0.85,0.0011
0.0502224,-0.328359,,0.8993,0.0477
0.0711583,-0.369673,,0.9489,0.0973
0.0983855,-0.390944,,,
0.133057,-0.401256,,,
0.17618,-0.395644,,,
0.228367,-0.374768,,,
0.289554,-0.345956,,,
0.358747,-0.309548,,,
0.433912,-0.268474,,,
0.512117,-0.227309,,,
0.589933,-0.183592,,,
0.664007,-0.141232,,,
0.731603,-0.101146,,,
0.790952,-0.0638932,,,
0.841316,-0.0287801,,,
0.882836,0.00514369,,,
0.916256,0.0420202,,,
0.942641,0.0869475,,,
0.963157,0.139618,,,
0.978921,0.190896,,,
0.990924,0.216899,,,
