"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.714995161,      -13.14287549,      -13.13618393,      -1.667287729,      -9.359845778,               0.5,       1.361746148,  -1.046823536e-06,                 0,                 0,                 0,   3.424869685e-07,       1.361746148,  -1.046823536e-06,                 0,  -7.687361826e-07,    0.001558235894
          0,           0,           1,       -3.94876074,      -3.641377949,      -3.164007026,      -1.893344176,      -9.645356761,               0.5,       1.001516402,  -1.717441741e-05,                 0,                 0,                 0,  -6.556211911e-06,       1.001516402,  -1.717441741e-05,                 0,  -1.714841352e-05,    0.001587150511
          0,           0,           2,      -4.470116279,      -3.906394729,      -3.644599739,      -2.422098997,      -10.18068956,               0.5,      0.8697463668,  -2.118957835e-05,                 0,                 0,                 0,  -8.374543067e-06,      0.8697463668,  -2.118957835e-05,                 0,  -2.436293978e-05,    0.001587150511
          0,           0,           3,      -4.566038581,      -3.765137191,      -3.601567746,      -2.520725635,      -10.30786922,               0.5,      0.7503111268,   -2.65008586e-05,                 0,                 0,                 0,  -1.365674857e-05,      0.7503111268,   -2.65008586e-05,                 0,   -3.53198262e-05,    0.001587150511
          0,           0,           4,      -4.604996793,      -3.640479505,      -3.560565308,      -2.564708577,      -10.42502577,               0.5,      0.6130884373,  -2.881979302e-05,                 0,                 0,                 0,  -1.777280446e-05,      0.6130884373,  -2.881979302e-05,                 0,  -4.700756247e-05,    0.001587150511
          0,           0,           5,      -4.628671291,      -3.567868003,      -3.548219148,      -2.594297856,      -10.54413771,               0.5,      0.4619516278,  -2.693501278e-05,                 0,                 0,                 0,  -1.942938912e-05,      0.4619516278,  -2.693501278e-05,                 0,  -5.830699831e-05,    0.001587150511
          0,           0,           6,      -4.609428394,       -3.54120699,      -3.562022479,      -2.575244305,      -10.59068788,               0.5,      0.3076770534,  -1.935190626e-05,                 0,                 0,                 0,  -1.712738981e-05,      0.3076770534,  -1.935190626e-05,                 0,  -6.289681355e-05,    0.001587150511
          0,           0,           7,      -4.558118115,      -3.552947399,       -3.59701874,      -2.519341224,      -10.62037685,               0.5,      0.1613700494,  -1.036955624e-05,                 0,                 0,                 0,   -1.36671814e-05,      0.1613700494,  -1.036955624e-05,                 0,  -6.425948484e-05,    0.001587150511
          0,           0,           8,      -4.507157816,       -3.59507367,      -3.646048281,      -2.464433023,       -10.6420355,               0.5,      0.0334338819,   6.717781342e-07,                 0,                 0,                 0,  -8.042193014e-06,      0.0334338819,   6.717781342e-07,                 0,   2.009273516e-05,    0.001587150511
          0,           0,           9,      -4.473001362,      -3.651804837,      -3.691891285,      -2.428463779,      -10.66067584,               0.5,    -0.06760758922,  -1.707078731e-06,                 0,                 0,                 0,  -1.112620988e-05,    -0.06760758922,  -1.707078731e-06,                 0,   2.524980924e-05,    0.001587150511
          0,           0,          10,      -4.456600318,      -3.690815903,       -3.70858942,      -2.411948923,      -10.68755191,               0.5,     -0.1364195638,   -4.78291316e-06,                 0,                 0,                 0,  -1.314326116e-05,     -0.1364195638,   -4.78291316e-06,                 0,   3.506031706e-05,    0.001587150511
          0,           0,          11,      -4.451855699,      -3.682391814,      -3.688010629,      -2.408126582,      -10.70028481,               0.5,     -0.1713262221,  -1.123771078e-05,                 0,                 0,                 0,  -1.652208443e-05,     -0.1713262221,  -1.123771078e-05,                 0,   6.559247406e-05,    0.001558235895
          0,           0,          12,      -4.450198732,      -3.639398813,       -3.65062855,      -2.407736473,      -10.70524333,               0.5,     -0.1742124872,  -1.718601622e-05,                 0,                 0,                 0,  -1.922453313e-05,     -0.1742124872,  -1.718601622e-05,                 0,   9.864973802e-05,    0.001558235895
          0,           0,          13,      -4.445322919,      -3.593401441,      -3.616920609,      -2.403831031,      -10.70655546,               0.5,     -0.1502930222,  -2.339455872e-05,                 0,                 0,                 0,  -2.182095441e-05,     -0.1502930222,  -2.339455872e-05,                 0,   0.0001556596466,    0.001558235895
          0,           0,          14,      -4.435792323,      -3.559898908,      -3.593789215,      -2.394659309,      -10.70796538,               0.5,     -0.1068024178,  -2.962060029e-05,                 0,                 0,                 0,  -2.387753309e-05,     -0.1068024178,  -2.962060029e-05,                 0,   0.0002773401661,    0.001558235895
          0,           0,          15,      -4.423486413,      -3.540786051,      -3.579591435,      -2.382171213,       -10.7114352,               0.5,    -0.05222204978,  -3.563117781e-05,                 0,                 0,                 0,  -2.517235921e-05,    -0.05222204978,  -3.563117781e-05,                 0,   0.0006823014025,    0.001558235895
          0,           0,          16,      -4.410019282,      -3.532876309,      -3.570158065,      -2.368193466,      -10.71243077,               0.5,    0.005074632047,   -4.14871891e-05,                 0,                 0,                 0,  -2.596459988e-05,    0.005074632047,   -4.14871891e-05,                 0,   -0.008175408328,    0.001558235895
          0,           0,          17,      -4.395246731,      -3.532010637,      -3.562318799,      -2.352750986,      -10.70927527,               0.5,     0.05786566366,  -4.658826937e-05,                 0,                 0,                 0,  -2.631981985e-05,     0.05786566366,  -4.658826937e-05,                 0,   -0.000805110776,    0.001558235895
          0,           0,          18,      -4.378308422,      -3.534426321,      -3.555054246,      -2.335098587,      -10.70257261,               0.5,      0.1007684535,  -5.012655895e-05,                 0,                 0,                 0,  -2.617207212e-05,      0.1007684535,  -5.012655895e-05,                 0,  -0.0004974429716,    0.001558235895
          0,           0,          19,      -4.359250465,      -3.536818036,      -3.548606055,      -2.315380083,       -10.6946413,               0.5,      0.1306316373,  -5.169655667e-05,                 0,                 0,                 0,  -2.569629735e-05,      0.1306316373,  -5.169655667e-05,                 0,  -0.0003957430047,    0.001558235895
          0,           0,          20,      -4.339528957,      -3.535940491,      -3.542764976,      -2.295132699,      -10.68454003,               0.5,       0.146506784,  -5.058742742e-05,                 0,                 0,                 0,  -2.456772886e-05,       0.146506784,  -5.058742742e-05,                 0,  -0.0003452906824,    0.001558235895
          0,           0,          21,      -4.321225117,       -3.52862723,        -3.5359056,      -2.276482556,      -10.67518191,               0.5,      0.1493172157,  -4.657638586e-05,                 0,                 0,                 0,  -2.255417729e-05,      0.1493172157,  -4.657638586e-05,                 0,  -0.0003119291077,    0.001558235895
          0,           0,          22,      -4.305877264,      -3.512854587,      -3.525507697,      -2.260966652,      -10.66718228,               0.5,      0.1413338026,  -4.158051021e-05,                 0,                 0,                 0,  -2.052639649e-05,      0.1413338026,  -4.158051021e-05,                 0,  -0.0002942007463,    0.001587150511
          0,           0,          23,      -4.293815314,      -3.489169402,      -3.509889566,      -2.248870399,      -10.65909067,               0.5,      0.1256030675,  -3.631434842e-05,                 0,                 0,                 0,  -1.883375413e-05,      0.1256030675,  -3.631434842e-05,                 0,  -0.0002891199167,    0.001587150511
          0,           0,          24,      -4.284128321,      -3.460920093,      -3.489791713,      -2.239199454,      -10.64859496,               0.5,      0.1054321589,  -3.070796399e-05,                 0,                 0,                 0,  -1.741955033e-05,      0.1054321589,  -3.070796399e-05,                 0,  -0.0002912580402,    0.001587150511
          0,           0,          25,      -4.275182987,      -3.432919498,      -3.468304323,      -2.230217404,      -10.63358997,               0.5,     0.08382494495,  -2.490986695e-05,                 0,                 0,                 0,  -1.622239167e-05,     0.08382494495,  -2.490986695e-05,                 0,  -0.0002971653242,    0.001587150511
          0,           0,          26,      -4.265436219,      -3.409695896,      -3.449356345,      -2.220291211,      -10.61378907,               0.5,     0.06332809941,  -1.941578108e-05,                 0,                 0,                 0,  -1.529252313e-05,     0.06332809941,  -1.941578108e-05,                 0,  -0.0003065903013,    0.001587150511
          0,           0,          27,      -4.254235509,      -3.394483873,      -3.436201993,      -2.208734388,      -10.59080698,               0.5,      0.0457803264,  -1.454356223e-05,                 0,                 0,                 0,  -1.462215056e-05,      0.0457803264,  -1.454356223e-05,                 0,  -0.0003176814883,    0.001587150511
          0,           0,          28,      -4.242168967,      -3.388956627,      -3.430605299,      -2.196179418,      -10.56696618,               0.5,     0.03220902976,  -1.080639623e-05,                 0,                 0,                 0,  -1.420669693e-05,     0.03220902976,  -1.080639623e-05,                 0,  -0.0003355082816,    0.001587150511
          0,           0,          29,      -4.230753387,      -3.393070314,      -3.432569475,      -2.184240723,      -10.54439624,               0.5,     0.02295770548,  -8.491908049e-06,                 0,                 0,                 0,  -1.408962977e-05,     0.02295770548,  -8.491908049e-06,                 0,  -0.0003698935878,    0.001587150511
          0,           0,          30,      -4.221722006,      -3.404687891,      -3.440137686,      -2.174752765,         -10.52488,               0.5,      0.0178045396,  -7.545504183e-06,                 0,                 0,                 0,  -1.426328882e-05,      0.0178045396,  -7.545504183e-06,                 0,   -0.000423796647,    0.001587150511
          0,           0,          31,      -4.216351472,      -3.418996561,      -3.449291379,      -2.169062205,      -10.50831232,               0.5,     0.01614760434,  -7.639544047e-06,                 0,                 0,                 0,  -1.457194173e-05,     0.01614760434,  -7.639544047e-06,                 0,  -0.0004731069629,    0.001587150511
          0,           0,          32,      -4.215054198,      -3.428631884,      -3.454573767,      -2.167609392,      -10.49294104,               0.5,     0.01718544375,  -8.579225884e-06,                 0,                 0,                 0,  -1.488218415e-05,     0.01718544375,  -8.579225884e-06,                 0,  -0.0004992146847,    0.001587150511
          0,           0,          33,      -4.217247746,      -3.426286367,      -3.451217658,      -2.169798126,      -10.47869841,               0.5,     0.02005930094,   -1.04320015e-05,                 0,                 0,                 0,  -1.520859831e-05,     0.02005930094,   -1.04320015e-05,                 0,  -0.0005200580782,    0.001587150511
          0,           0,          34,      -4.221487388,      -3.409554422,       -3.43803644,      -2.174130216,      -10.46386872,               0.5,     0.02397075263,  -1.316837766e-05,                 0,                 0,                 0,  -1.557370391e-05,     0.02397075263,  -1.316837766e-05,                 0,  -0.0005493518648,    0.001558235895
          0,           0,          35,      -4.225897689,      -3.382998782,      -3.418327913,       -2.17864445,      -10.45015773,               0.5,     0.02827309102,  -1.658262165e-05,                 0,                 0,                 0,  -1.598451005e-05,     0.02827309102,  -1.658262165e-05,                 0,  -0.0005865160494,    0.001558235895
          0,           0,          36,       -4.22888794,      -3.354629226,      -3.397749818,      -2.181654671,      -10.43762507,               0.5,     0.03250504566,  -2.040948755e-05,                 0,                 0,                 0,  -1.643814118e-05,     0.03250504566,  -2.040948755e-05,                 0,  -0.0006278867521,    0.001558235895
          0,           0,          37,      -4.229886266,      -3.331465413,      -3.381585936,      -2.182520144,       -10.4274525,               0.5,     0.03635262434,  -2.431584687e-05,                 0,                 0,                 0,  -1.694550206e-05,     0.03635262434,  -2.431584687e-05,                 0,  -0.0006688883489,    0.001558235895
          0,           0,          38,      -4.229639251,      -3.317929368,       -3.37344221,      -2.181972956,      -10.41859292,               0.5,     0.03964261102,  -2.792359587e-05,                 0,                 0,                 0,  -1.748925879e-05,     0.03964261102,  -2.792359587e-05,                 0,  -0.0007043833682,    0.001558235895
          0,           0,          39,      -4.229848403,      -3.316172876,      -3.375147539,       -2.18175134,      -10.41119674,               0.5,     0.04230399715,  -3.084495566e-05,                 0,                 0,                 0,  -1.798247701e-05,     0.04230399715,  -3.084495566e-05,                 0,  -0.0007291262703,    0.001558235895
          0,           0,          40,      -4.232412388,      -3.326661953,      -3.386929413,      -2.183816426,      -10.40432657,               0.5,     0.04433194594,  -3.285624635e-05,                 0,                 0,                 0,   -1.83576449e-05,     0.04433194594,  -3.285624635e-05,                 0,  -0.0007411415324,    0.001558235895
          0,           0,          41,      -4.238730347,      -3.348303215,      -3.407342155,      -2.189631339,      -10.39860063,               0.5,     0.04575070792,  -3.394771131e-05,                 0,                 0,                 0,  -1.863192797e-05,     0.04575070792,  -3.394771131e-05,                 0,  -0.0007420149951,    0.001558235895
          0,           0,          42,      -4.249315366,      -3.377998184,      -3.432871749,      -2.199762653,      -10.39270108,               0.5,     0.04658980691,  -3.415401945e-05,                 0,                 0,                 0,  -1.879610679e-05,     0.04658980691,  -3.415401945e-05,                 0,   -0.000733079223,    0.001558235895
          0,           0,          43,      -4.263733976,      -3.409921258,      -3.457687112,      -2.213813582,      -10.38846507,               0.5,     0.04687142504,  -3.352383212e-05,                 0,                 0,                 0,  -1.883741597e-05,     0.04687142504,  -3.352383212e-05,                 0,  -0.0007152296328,    0.001558235895
          0,           0,          44,      -4.280832028,      -3.435753769,      -3.474779193,        -2.2306387,      -10.38279204,               0.5,     0.04660929483,   -3.21046557e-05,                 0,                 0,                 0,   -1.87274926e-05,     0.04660929483,   -3.21046557e-05,                 0,  -0.0006888037207,    0.001558235895
          0,           0,          45,      -4.299223608,        -3.4479023,      -3.479410027,      -2.248817537,      -10.37862289,               0.5,     0.04581704319,  -3.000934292e-05,                 0,                 0,                 0,  -1.844944716e-05,     0.04581704319,  -3.000934292e-05,                 0,  -0.0006549820948,    0.001587150511
          0,           0,          46,      -4.317928573,      -3.444751828,      -3.472511051,      -2.267287282,      -10.37400687,               0.5,     0.04452202749,   -2.74292423e-05,                 0,                 0,                 0,  -1.799551281e-05,     0.04452202749,   -2.74292423e-05,                 0,  -0.0006160825067,    0.001587150511
          0,           0,          47,      -4.336851809,      -3.431901058,      -3.459934578,      -2.285844625,      -10.36884826,               0.5,     0.04277794374,  -2.461079618e-05,                 0,                 0,                 0,  -1.738599311e-05,     0.04277794374,  -2.461079618e-05,                 0,  -0.0005753150813,    0.001587150511
          0,           0,          48,       -4.35677197,      -3.417576875,      -3.448547127,      -2.305181818,      -10.36533976,               0.5,     0.04066710299,  -2.175818781e-05,                 0,                 0,                 0,  -1.666224764e-05,     0.04066710299,  -2.175818781e-05,                 0,  -0.0005350316648,    0.001587150511
          0,           0,          49,      -4.378781725,      -3.408191451,       -3.44340561,      -2.326373308,      -10.36058391,               0.5,     0.03829932201,  -1.909830834e-05,                 0,                 0,                 0,  -1.588366327e-05,     0.03829932201,  -1.909830834e-05,                 0,  -0.0004986591756,    0.001587150511
          0,           0,          50,       -4.40345886,      -3.407197055,      -3.447184837,      -2.350073889,      -10.35800282,               0.5,     0.03581390662,  -1.681150448e-05,                 0,                 0,                 0,  -1.511067548e-05,     0.03581390662,  -1.681150448e-05,                 0,  -0.0004694127525,    0.001587150511
          0,           0,          51,      -4.430167894,      -3.415687943,      -3.460584928,      -2.375828639,       -10.3542078,               0.5,     0.03336770665,  -1.503258828e-05,                 0,                 0,                 0,  -1.440396135e-05,     0.03336770665,  -1.503258828e-05,                 0,  -0.0004505130794,    0.001587150511
          0,           0,          52,      -4.456835543,      -3.433146066,      -3.482704071,      -2.401823637,      -10.35065489,               0.5,     0.03111900092,  -1.385722599e-05,                 0,                 0,                 0,  -1.380762665e-05,     0.03111900092,  -1.385722599e-05,                 0,  -0.0004452979074,    0.001587150511
          0,           0,          53,      -4.480579092,      -3.457874201,      -3.511142349,      -2.425414744,      -10.34814374,               0.5,     0.02921125644,  -1.333400977e-05,                 0,                 0,                 0,  -1.336770035e-05,     0.02921125644,  -1.333400977e-05,                 0,  -0.0004564682041,    0.001587150511
          0,           0,          54,      -4.499278967,       -3.48722593,      -3.542028454,      -2.444527515,       -10.3451357,               0.5,     0.02775799303,  -1.345688776e-05,                 0,                 0,                 0,  -1.312414718e-05,     0.02775799303,  -1.345688776e-05,                 0,   -0.000484793254,    0.001587150511
          0,           0,          55,      -4.513228563,      -3.517877837,      -3.570461352,      -2.459211211,      -10.34250815,               0.5,     0.02683105223,    -1.4152813e-05,                 0,                 0,                 0,  -1.309701015e-05,     0.02683105223,    -1.4152813e-05,                 0,  -0.0005274788659,    0.001587150511
          0,           0,          56,       -4.52539396,      -3.546403478,      -3.591874825,      -2.472029447,      -10.34024809,               0.5,     0.02645350313,  -1.527186171e-05,                 0,                 0,                 0,  -1.327417858e-05,     0.02645350313,  -1.527186171e-05,                 0,  -0.0005773096152,    0.001587150511
          0,           0,          57,      -4.540041329,      -3.570112112,      -3.604019675,      -2.486920148,        -10.338375,               0.5,     0.02659719616,  -1.667118857e-05,                 0,                 0,                 0,  -1.363290457e-05,     0.02659719616,  -1.667118857e-05,                 0,  -0.0006268024822,    0.001587150511
          0,           0,          58,      -4.561002378,       -3.58781497,      -3.607987032,      -2.507568751,      -10.33670894,               0.5,     0.02719115394,   -1.82026387e-05,                 0,                 0,                 0,  -1.411715815e-05,     0.02719115394,   -1.82026387e-05,                 0,  -0.0006694323728,    0.001587150511
          0,           0,          59,      -4.590550295,      -3.599997523,      -3.607271511,      -2.536260306,      -10.33704535,               0.5,     0.02812966349,   -1.97755129e-05,                 0,                 0,                 0,  -1.467712034e-05,     0.02812966349,   -1.97755129e-05,                 0,  -0.0007030127789,    0.001558235895
          0,           0,          60,      -4.628739171,      -3.608298382,      -3.605914882,      -2.573189895,      -10.33599197,               0.5,     0.02927882911,  -2.132491425e-05,                 0,                 0,                 0,  -1.526271858e-05,     0.02927882911,  -2.132491425e-05,                 0,  -0.0007283390389,    0.001558235895
          0,           0,          61,      -4.672674204,      -3.614789459,      -3.607254919,       -2.61577768,      -10.33557841,               0.5,     0.03049353918,  -2.275622511e-05,                 0,                 0,                 0,  -1.582404963e-05,     0.03049353918,  -2.275622511e-05,                 0,  -0.0007462638227,    0.001558235895
          0,           0,          62,      -4.715762436,      -3.621474927,      -3.613613051,      -2.658000842,      -10.33481646,               0.5,      0.0316331632,  -2.394896748e-05,                 0,                 0,                 0,  -1.630890592e-05,      0.0316331632,  -2.394896748e-05,                 0,  -0.0007570841819,    0.001558235895
          0,           0,          63,      -4.748533152,      -3.630051914,      -3.626434165,      -2.691081155,      -10.33294927,               0.5,     0.03257525082,  -2.480636052e-05,                 0,                 0,                 0,  -1.667019574e-05,     0.03257525082,  -2.480636052e-05,                 0,  -0.0007615094251,    0.001558235895
          0,           0,          64,      -4.763369788,      -3.641799212,      -3.646414338,      -2.707612688,      -10.33092821,               0.5,     0.03322568972,  -2.528140048e-05,                 0,                 0,                 0,  -1.687713152e-05,     0.03322568972,  -2.528140048e-05,                 0,  -0.0007608991926,    0.001587150511
          0,           0,          65,      -4.760500791,       -3.65745962,       -3.67340914,      -2.707150424,      -10.32865631,               0.5,     0.03352546617,  -2.537437751e-05,                 0,                 0,                 0,  -1.691795134e-05,     0.03352546617,  -2.537437751e-05,                 0,  -0.0007568687451,    0.001587150511
          0,           0,          66,      -4.747497962,      -3.677070031,      -3.706059379,      -2.696391223,      -10.32607428,               0.5,     0.03345335724,  -2.513846271e-05,                 0,                 0,                 0,  -1.680522967e-05,     0.03345335724,  -2.513846271e-05,                 0,  -0.0007514481292,    0.001587150511
          0,           0,          67,      -4.733164217,      -3.699795082,      -3.741227605,      -2.683805249,      -10.32259838,               0.5,     0.03302636799,  -2.463387173e-05,                 0,                 0,                 0,  -1.654978223e-05,     0.03302636799,  -2.463387173e-05,                 0,  -0.0007458849769,    0.001587150511
          0,           0,          68,      -4.723579446,      -3.723901453,       -3.77374367,      -2.675599034,      -10.31943648,               0.5,     0.03229261999,  -2.391656367e-05,                 0,                 0,                 0,  -1.618203961e-05,     0.03229261999,  -2.391656367e-05,                 0,  -0.0007406201069,    0.001587150511
