"       ""CD""       ","       ""CL""       ",,,,,,,,,,,,,
2.648659703,7.391709291,,,,,,,,,,,,,
1.829604271,4.719826186,,,,,,,,,,,,,
1.619111676,4.260744344,,,,,,,,,,,,,
1.464351683,4.057250599,,,,,,,,,,,,,
1.28148038,3.801941605,,,,,,,,,,,,,
1.067073438,3.452660447,,,,,,,,,,,,,
0.83211294,3.011529207,,,,,,,,,,,,,
0.590730992,2.495497925,,,,,,,,,,,,,
0.357730705,1.929158288,,,,,,,,,,,,,
0.146915149,1.340938789,,,,,,,,,,,,,
-0.030814553,0.759835694,,,,,,,,,,,,,
-0.168196512,0.212875084,,,,,,,,,,,,,
-0.261988011,-0.275169984,,,,,,,,,,,,,
-0.313256848,-0.684154236,,,,,,,,,,,,,
-0.32642032,-0.99966003,,,,,,,,,,,,,
-0.308362249,-1.212711908,,,,,,,,,,,,,
-0.267151615,-1.319770443,,,,,,,,,,,,,
-0.210663772,-1.321943641,,,,,,,,,,,,,
-0.14593272,-1.225296092,,,,,,,,,,,,,
-0.078777268,-1.041188588,,,,,,,,,,,,,
-0.013479291,-0.784857755,,,,,,,,,,,,,
0.047102936,-0.474777635,,,,,,,,,,,,,
0.101337559,-0.131476551,,,,,,,,,,,,,
0.148349389,0.223239632,,,,,,,,,,,,,
0.187853017,0.568716386,,,,,,,,,,,,,
0.219686223,0.885741216,,,,,,,,,,,,,
0.243739411,1.157510091,,,,,,,,,,,,,
0.259864674,1.371291913,,,,,,,,,,,,,
0.267946514,1.51865195,,,,,,,,,,,,,
0.267878664,1.595445202,,,,,,,,,,,,,
0.259716501,1.602083718,,,,,,,,,,,,,
0.243825546,1.543404724,,,,,,,,,,,,,
0.220905858,1.427241832,,,,,,,,,,,,,
0.192171694,1.265458691,,,,,,,,,,,,,
0.159184379,1.071580506,,,,,,,,,,,,,
0.123902376,0.860478483,,,,,,,,,,,,,
0.088465348,0.646749651,,,,,,,,,,,,,
0.055063213,0.44438857,,,,,,,,,,,,,
0.025774151,0.265806313,,,,,,,,,,,,,
0.002376741,0.121112718,,,,,,,,,,,,,
-0.013855777,0.017469103,,,,,,,,,,,,,
-0.022186846,-0.041022503,,,,,,,,,,,,,
-0.022513839,-0.053557511,,,,,,,,,,,,,
-0.01531846,-0.022365927,,,,,,,,,,,,,
-0.00159508,0.047902328,,,,,,,,,,,,,
0.017337034,0.150676514,,,,,,,,,,,,,
0.039835662,0.277528717,,,,,,,,,,,,,
0.064081328,0.418938298,,,,,,,,,,,,,
0.088329874,0.565317147,,,,,,,,,,,,,
0.110970981,0.707532374,,,,,,,,,,,,,
0.130639254,0.837246196,,,,,,,,,,,,,
0.146285281,0.947421276,,,,,,,,,,,,,
0.15722101,1.032923488,,,,,,,,,,,,,
0.163119641,1.090445171,,,,,,,,,,,,,
0.164002887,1.118737006,,,,,,,,,,,,,
0.160208139,1.118475854,,,,,,,,,,,,,
0.152339467,1.092154601,,,,,,,,,,,,,
0.141179114,1.043633669,,,,,,,,,,,,,
0.127606115,0.977607044,,,,,,,,,,,,,
0.112605868,0.899776347,,,,,,,,,,,,,
0.097183113,0.816232513,,,,,,,,,,,,,
0.082288116,0.733010413,,,,,,,,,,,,,
0.068758994,0.655463372,,,,,,,,,,,,,
0.057287477,0.588300293,,,,,,,,,,,,,
0.048397858,0.535234705,,,,,,,,,,,,,
0.042422882,0.498829088,,,,,,,,,,,,,
0.039508343,0.48045122,,,,,,,,,,,,,
0.039607148,0.480233909,,,,,,,,,,,,,
0.042475907,0.497088732,,,,,,,,,,,,,
0.047753094,0.529039432,,,,,,,,,,,,,
0.054967341,0.573434009,,,,,,,,,,,,,
0.063558892,0.626973152,,,,,,,,,,,,,
0.072899985,0.685904085,,,,,,,,,,,,,
0.082357712,0.74643641,,,,,,,,,,,,,
0.09133083,0.804928849,,,,,,,,,,,,,
0.099282782,0.858068796,,,,,,,,,,,,,
0.105773459,0.903148059,,,,,,,,,,,,,
0.110478024,0.938155871,,,,,,,,,,,,,
0.113197806,0.961837677,,,,,,,,,,,,,
0.113865895,0.973740963,,,,,,,,,,,,,
0.112545502,0.974184823,,,,,,,,,,,,,
0.109426375,0.964190544,,,,,,,,,,,,,
0.104791131,0.945321355,,,,,,,,,,,,,
0.098992054,0.91953788,,,,,,,,,,,,,
0.092437964,0.889136638,,,,,,,,,,,,,
0.085566119,0.856566805,,,,,,,,,,,,,
0.078812375,0.824302903,,,,,,,,,,,,,
0.072575792,0.794505939,,,,,,,,,,,,,
0.067200325,0.769109457,,,,,,,,,,,,,
0.062951638,0.74959425,,,,,,,,,,,,,
0.060009682,0.736994973,,,,,,,,,,,,,
0.058457053,0.731810076,,,,,,,,,,,,,
0.058280688,0.734053558,,,,,,,,,,,,,
0.059378306,0.743246715,,,,,,,,,,,,,
0.061576138,0.758544517,,,,,,,,,,,,,
0.064643735,0.778788836,,,,,,,,,,,,,
0.068308222,0.80259623,,,,,,,,,,,,,
0.072271018,0.828406376,,,,,,,,,,,,,
0.076233445,0.854638383,,,,,,,,,,,,,
