Points_0,Pressure_Coefficient,,x/c,cp,,,,,,,,,,,,,,,,,
1,-0.181003,,0.9483,0.0617,,,,,,,,,,,,,,,,,
0.990924,-0.0387681,,0.9,0.0513,,,,,,,,,,,,,,,,,
0.978921,-0.0503092,,0.8503,0.0877,,,,,,,,,,,,,,,,,
0.963157,-0.0567063,,0.7998,0.1017,,,,,,,,,,,,,,,,,
0.942641,-0.0524653,,0.7497,0.1074,,,,,,,,,,,,,,,,,
0.916256,-0.0409798,,0.7003,0.1208,,,,,,,,,,,,,,,,,
0.882836,-0.0243564,,0.6502,0.1275,,,,,,,,,,,,,,,,,
0.841316,-0.00373463,,0.5997,0.1627,,,,,,,,,,,,,,,,,
0.790952,0.0199207,,0.5506,0.1787,,,,,,,,,,,,,,,,,
0.731603,0.0473311,,0.5,0.2027,,,,,,,,,,,,,,,,,
0.664007,0.0792827,,0.4503,0.2369,,,,,,,,,,,,,,,,,
0.589933,0.11668,,0.4,0.2621,,,,,,,,,,,,,,,,,
0.512117,0.161632,,0.3507,0.3031,,,,,,,,,,,,,,,,,
0.433912,0.213722,,0.3002,0.3522,,,,,,,,,,,,,,,,,
0.358747,0.271087,,0.2501,0.4122,,,,,,,,,,,,,,,,,
0.289554,0.33921,,0.2004,0.4922,,,,,,,,,,,,,,,,,
0.228367,0.419338,,0.1504,0.5984,,,,,,,,,,,,,,,,,
0.17618,0.516855,,0.1,0.7577,,,,,,,,,,,,,,,,,
0.133057,0.622725,,0.0755,0.8538,,,,,,,,,,,,,,,,,
0.0983855,0.729783,,0.051,0.9678,,,,,,,,,,,,,,,,,
0.0711583,0.852928,,0.0251,1.0003,,,,,,,,,,,,,,,,,
0.0502224,0.961063,,0.0122,0.7025,,,,,,,,,,,,,,,,,
0.0344451,1.02948,,0,-5.9494,,,,,,,,,,,,,,,,,
0.0228094,1.04007,,0.0135,-5.9727,,,,,,,,,,,,,,,,,
0.0144522,0.943155,,0.0271,-4.477,,,,,,,,,,,,,,,,,
0.00866098,0.652493,,0.0515,-3.2561,,,,,,,,,,,,,,,,,
0.00484455,0.112132,,0.0763,-2.6775,,,,,,,,,,,,,,,,,
0.00249343,-0.655072,,0.1012,-2.2702,,,,,,,,,,,,,,,,,
0.00115919,-1.50391,,0.1503,-1.7605,,,,,,,,,,,,,,,,,
0.000469128,-2.1747,,0.1994,-1.4603,,,,,,,,,,,,,,,,,
0.000150079,-2.77882,,0.2501,-1.2253,,,,,,,,,,,,,,,,,
2.72E-05,-3.20966,,0.2999,-1.0511,,,,,,,,,,,,,,,,,
0,-3.63975,,0.3499,-0.9091,,,,,,,,,,,,,,,,,
2.72E-05,-3.96854,,0.3994,-0.7981,,,,,,,,,,,,,,,,,
0.000150079,-4.16431,,0.4496,-0.687,,,,,,,,,,,,,,,,,
0.000469128,-4.51783,,0.4997,-0.5954,,,,,,,,,,,,,,,,,
0.00115919,-4.88008,,0.5492,-0.5115,,,,,,,,,,,,,,,,,
0.00249343,-4.94155,,0.5994,-0.4372,,,,,,,,,,,,,,,,,
0.00484455,-4.71752,,0.6495,-0.3675,,,,,,,,,,,,,,,,,
0.00866098,-4.26811,,0.6996,-0.299,,,,,,,,,,,,,,,,,
0.0144522,-3.76298,,0.7489,-0.2354,,,,,,,,,,,,,,,,,
0.0228094,-3.18724,,0.8003,-0.1678,,,,,,,,,,,,,,,,,
0.0344451,-2.60757,,0.85,-0.097,,,,,,,,,,,,,,,,,
0.0502224,-2.10052,,0.8993,-0.0368,,,,,,,,,,,,,,,,,
0.0711583,-1.70366,,0.9489,0.0123,,,,,,,,,,,,,,,,,
0.0983855,-1.39038,,,,,,,,,,,,,,,,,,,,
0.133057,-1.15177,,,,,,,,,,,,,,,,,,,,
0.17618,-0.978524,,,,,,,,,,,,,,,,,,,,
0.228367,-0.877384,,,,,,,,,,,,,,,,,,,,
0.289554,-0.825427,,,,,,,,,,,,,,,,,,,,
0.358747,-0.842157,,,,,,,,,,,,,,,,,,,,
0.433912,-0.887364,,,,,,,,,,,,,,,,,,,,
0.512117,-0.956394,,,,,,,,,,,,,,,,,,,,
0.589933,-0.960977,,,,,,,,,,,,,,,,,,,,
0.664007,-0.854687,,,,,,,,,,,,,,,,,,,,
0.731603,-0.685104,,,,,,,,,,,,,,,,,,,,
0.790952,-0.545218,,,,,,,,,,,,,,,,,,,,
0.841316,-0.463135,,,,,,,,,,,,,,,,,,,,
0.882836,-0.401986,,,,,,,,,,,,,,,,,,,,
0.916256,-0.32991,,,,,,,,,,,,,,,,,,,,
0.942641,-0.294655,,,,,,,,,,,,,,,,,,,,
0.963157,-0.273936,,,,,,,,,,,,,,,,,,,,
0.978921,-0.261338,,,,,,,,,,,,,,,,,,,,
0.990924,-0.247555,,,,,,,,,,,,,,,,,,,,
