"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.803823096,      -14.75659236,      -14.38796077,      -1.313665118,      -7.775246367
          0,           0,           1,      -4.114310079,      -3.298667381,      -2.996632793,      -1.623182436,      -8.182325846
          0,           0,           2,      -4.315241201,      -3.574246517,      -3.260245601,      -1.821686787,      -8.716841416
          0,           0,           3,      -4.385488233,       -3.78367587,      -3.491115291,        -1.9001875,      -9.121864431
          0,           0,           4,      -4.541266734,      -3.917034205,      -3.532905319,      -2.056927734,      -9.406872141
          0,           0,           5,      -4.615215785,      -3.988629381,      -3.572135153,      -2.126717964,      -9.532481119
          0,           0,           6,      -4.626146617,      -4.003933631,      -3.573266671,      -2.136178847,      -9.623999433
          0,           0,           7,      -4.611646276,      -3.967474732,      -3.545878355,      -2.121521899,      -9.690050948
          0,           0,           8,      -4.586247475,      -3.893864043,      -3.505512796,        -2.0961026,      -9.745401589
          0,           0,           9,      -4.559501078,      -3.806804293,      -3.462710606,      -2.069336221,      -9.790500158
          0,           0,          10,      -4.536941172,      -3.723192433,      -3.424083406,      -2.046764149,      -9.827329999
          0,           0,          11,      -4.520851353,      -3.649921161,      -3.392221784,      -2.030622346,      -9.861636247
          0,           0,          12,      -4.511054193,       -3.58824516,      -3.367293503,      -2.020688977,      -9.891536197
          0,           0,          13,      -4.505991362,      -3.537149888,      -3.348285389,      -2.015391452,      -9.916801037
          0,           0,          14,      -4.503600353,      -3.494987359,      -3.333793352,      -2.012687354,      -9.939028552
          0,           0,          15,      -4.501974375,      -3.460178534,       -3.32247774,      -2.010720159,      -9.959319833
          0,           0,          16,       -4.49977249,      -3.431478342,      -3.313299136,       -2.00821573,      -9.975527157
          0,           0,          17,      -4.496341524,      -3.408025333,       -3.30559938,      -2.004584274,       -9.98772641
          0,           0,          18,      -4.491593867,      -3.389287349,      -3.299074034,      -1.999780994,      -9.996612042
          0,           0,          19,       -4.48578934,      -3.374970113,      -3.293680045,      -1.994080285,      -10.00321419
          0,           0,          20,      -4.479338687,      -3.364922729,      -3.289516834,      -1.987881308,      -10.00778301
          0,           0,          21,      -4.472677687,      -3.359054264,      -3.286715904,      -1.981589917,      -10.00985365
          0,           0,          22,      -4.466202416,      -3.357266754,        -3.2853627,      -1.975563319,       -10.0101286
          0,           0,          23,      -4.460239786,      -3.359408268,      -3.285461648,      -1.970088806,      -10.00934235
          0,           0,          24,      -4.455032725,      -3.365248787,      -3.286943643,      -1.965374726,      -10.00819922
          0,           0,          25,       -4.45073282,      -3.374479904,      -3.289705163,       -1.96154583,       -10.0073135
          0,           0,          26,      -4.447397998,      -3.386736883,      -3.293661078,       -1.95864098,      -10.00672221
          0,           0,          27,      -4.444994566,      -3.401637961,      -3.298790201,      -1.956613302,      -10.00649631
          0,           0,          28,      -4.443402803,      -3.418831079,      -3.305155916,      -1.955333077,      -10.00678235
          0,           0,          29,       -4.44242568,      -3.438034143,      -3.312894043,      -1.954594058,      -10.00764987
          0,           0,          30,      -4.441801252,      -3.459054154,      -3.322172237,      -1.954124719,      -10.00906674
          0,           0,          31,      -4.441220183,      -3.481774176,      -3.333133579,      -1.953606469,      -10.01096562
          0,           0,          32,      -4.440351541,      -3.506105389,      -3.345838813,      -1.952701938,       -10.0130657
          0,           0,          33,      -4.438879493,       -3.53190953,      -3.360216659,       -1.95109517,      -10.01499515
          0,           0,          34,      -4.436549999,      -3.558902624,      -3.376024346,      -1.948541381,      -10.01653562
          0,           0,          35,      -4.433220569,       -3.58655401,      -3.392815249,      -1.944917713,      -10.01755532
          0,           0,          36,      -4.428899972,      -3.613999408,      -3.409910241,      -1.940260889,      -10.01801053
          0,           0,          37,      -4.423763738,      -3.639998488,      -3.426377128,      -1.934778002,      -10.01800468
          0,           0,          38,       -4.41813721,      -3.662984756,      -3.441037925,      -1.928823924,      -10.01778833
          0,           0,          39,      -4.412449274,      -3.681259524,      -3.452541157,      -1.922850551,      -10.01765754
          0,           0,          40,      -4.407169765,       -3.69333813,      -3.459537965,      -1.917342228,      -10.01787827
          0,           0,          41,      -4.402746615,      -3.698351086,      -3.460961046,      -1.912753456,      -10.01873474
          0,           0,          42,      -4.399555057,      -3.696305724,      -3.456323159,      -1.909460251,      -10.02047642
          0,           0,          43,      -4.397864138,       -3.68805162,       -3.44588835,      -1.907729288,      -10.02321517
          0,           0,          44,      -4.397819447,       -3.67497651,        -3.4306105,      -1.907702843,      -10.02696865
          0,           0,          45,      -4.399437865,      -3.658616283,      -3.411872139,         -1.909395,      -10.03164244
          0,           0,          46,      -4.402609726,      -3.640354996,      -3.391164525,      -1.912694358,      -10.03705306
          0,           0,          47,      -4.407105593,      -3.621278244,      -3.369840803,      -1.917370551,      -10.04292203
          0,           0,          48,      -4.412587266,      -3.602151435,      -3.348990487,      -1.923084307,      -10.04886358
          0,           0,          49,      -4.418625325,      -3.583466783,      -3.329414331,      -1.929403542,      -10.05443458
          0,           0,          50,      -4.424726841,      -3.565514945,       -3.31165594,      -1.935829428,      -10.05926156
          0,           0,          51,      -4.430376237,      -3.548457358,      -3.296054614,       -1.94183592,      -10.06292649
          0,           0,          52,      -4.435088647,      -3.532389211,      -3.282799478,      -1.946922746,      -10.06518781
          0,           0,          53,       -4.43846928,      -3.517389335,      -3.271976959,      -1.950675902,      -10.06595241
          0,           0,          54,      -4.440266473,      -3.503556174,      -3.263609941,      -1.952823393,      -10.06527299
          0,           0,          55,      -4.440404554,      -3.491029823,      -3.257689288,      -1.953271645,      -10.06331276
          0,           0,          56,      -4.438987264,      -3.480000743,        -3.2541987,      -1.952112126,      -10.06031268
          0,           0,          57,      -4.436271915,      -3.470707111,      -3.253133366,      -1.949597126,      -10.05664456
          0,           0,          58,      -4.432623517,       -3.46342373,      -3.254512293,      -1.946093535,      -10.05270244
          0,           0,          59,       -4.42846235,      -3.458446047,        -3.2583839,      -1.942028473,      -10.04895795
          0,           0,          60,      -4.424216539,      -3.456072562,      -3.264824613,      -1.937839248,       -10.0458371
          0,           0,          61,      -4.420285688,      -3.456587942,      -3.273930212,      -1.933934554,      -10.04365287
          0,           0,          62,       -4.41701642,       -3.46024766,      -3.285799817,      -1.930668306,      -10.04284628
          0,           0,          63,      -4.414687541,      -3.467263493,      -3.300512165,       -1.92832393,       -10.0434593
          0,           0,          64,      -4.413501666,      -3.477787825,      -3.318093142,      -1.927105883,      -10.04547567
          0,           0,          65,      -4.413580966,      -3.491893462,      -3.338472715,      -1.927135859,      -10.04877672
          0,           0,          66,      -4.414965761,      -3.509544506,      -3.361428777,      -1.928452207,      -10.05323228
          0,           0,          67,      -4.417615925,      -3.530553085,       -3.38651673,      -1.931012381,      -10.05867449
          0,           0,          68,       -4.42141577,      -3.554516955,      -3.412989213,      -1.934698967,      -10.06493882
          0,           0,          69,      -4.426183444,      -3.580736651,      -3.439724298,      -1.939330169,      -10.07153469
          0,           0,          70,      -4.431685719,      -3.608122364,      -3.465205073,      -1.944675495,      -10.07801841
          0,           0,          71,      -4.437658402,      -3.635126159,      -3.487619829,      -1.950476661,       -10.0840437
          0,           0,          72,      -4.443831345,      -3.659773948,      -3.505146451,      -1.956472515,      -10.08930712
          0,           0,          73,      -4.449955366,      -3.679897457,      -3.516398412,      -1.962425175,       -10.0936363
          0,           0,          74,      -4.455826824,      -3.693611154,      -3.520855191,      -1.968143206,      -10.09699891
          0,           0,          75,      -4.461305259,      -3.699894702,      -3.519021768,       -1.97349751,      -10.09934331
          0,           0,          76,        -4.4663221,      -3.698950766,      -3.512207333,      -1.978428331,      -10.10082173
          0,           0,          77,      -4.470879899,      -3.692080638,      -3.502073601,      -1.982943301,      -10.10173764
          0,           0,          78,      -4.475042559,      -3.681169401,      -3.490210517,      -1.987107284,      -10.10229256
          0,           0,          79,      -4.478918986,      -3.668119146,       -3.47789047,      -1.991026474,      -10.10274962
          0,           0,          80,       -4.48264439,      -3.654486328,       -3.46600065,        -1.9948307,      -10.10329605
          0,           0,          81,      -4.486363169,      -3.641360405,      -3.455083083,      -1.998657535,      -10.10405097
          0,           0,          82,      -4.490215876,      -3.629397026,      -3.445415804,        -2.0026404,      -10.10517962
          0,           0,          83,      -4.494331107,      -3.618912941,      -3.437096339,      -2.006901273,      -10.10655443
          0,           0,          84,      -4.498821748,      -3.609987831,      -3.430111491,        -2.0115474,      -10.10814996
          0,           0,          85,      -4.503784303,      -3.602551433,      -3.424389819,      -2.016670734,      -10.10998867
          0,           0,          86,      -4.509299732,      -3.596451667,      -3.419838237,      -2.022348668,       -10.1119062
          0,           0,          87,      -4.515434406,      -3.591505839,      -3.416365677,      -2.028644719,       -10.1139297
          0,           0,          88,      -4.522240011,       -3.58753792,       -3.41389685,      -2.035608121,      -10.11603355
          0,           0,          89,       -4.52975163,      -3.584404254,      -3.412378839,      -2.043271595,      -10.11831402
          0,           0,          90,      -4.537983541,      -3.582009274,      -3.411782826,      -2.051646867,      -10.12080599
          0,           0,          91,      -4.546922527,      -3.580312455,      -3.412102813,      -2.060717741,       -10.1231871
          0,           0,          92,        -4.5565188,      -3.579327925,      -3.413352724,      -2.070430827,      -10.12541448
          0,           0,          93,      -4.566674926,       -3.57911842,      -3.415562725,      -2.080684318,      -10.12762926
          0,           0,          94,      -4.577233655,      -3.579785471,      -3.418775194,      -2.091315763,      -10.12947315
          0,           0,          95,      -4.587966776,      -3.581457516,      -3.423040572,         -2.102091,      -10.13076272
          0,           0,          96,      -4.598567528,      -3.584277554,      -3.428412988,      -2.112696895,      -10.13120382
          0,           0,          97,      -4.608650885,      -3.588391338,      -3.434945394,      -2.122742288,      -10.13059885
          0,           0,          98,      -4.617766986,       -3.59393642,      -3.442683968,      -2.131772504,      -10.12893764
          0,           0,          99,      -4.625432437,      -3.601031949,      -3.451661534,      -2.139302071,      -10.12606842
          0,           0,         100,      -4.631181046,      -3.609768652,      -3.461889802,      -2.144866893,      -10.12204842
          0,           0,         101,      -4.634628834,      -3.620198286,      -3.473350263,      -2.148090151,      -10.11696691
          0,           0,         102,      -4.635540271,      -3.632321762,      -3.485983602,        -2.1487483,      -10.11092931
          0,           0,         103,      -4.633877538,      -3.646074891,       -3.49967772,      -2.146818676,      -10.10401672
          0,           0,         104,      -4.629816281,      -3.661311588,      -3.514255063,      -2.142492579,       -10.0964088
          0,           0,         105,      -4.623721621,      -3.677784958,      -3.529460089,      -2.136148556,      -10.08839478
          0,           0,         106,      -4.616092978,      -3.695127879,      -3.544948798,      -2.128295332,      -10.08025886
          0,           0,         107,      -4.607495144,      -3.712837262,      -3.560283408,      -2.119502319,      -10.07222071
          0,           0,         108,      -4.598493707,       -3.73026936,      -3.574936779,      -2.110335624,      -10.06446775
          0,           0,         109,      -4.589606559,      -3.746656859,      -3.588311932,      -2.101310781,      -10.05717313
          0,           0,         110,      -4.581275098,        -3.7611593,      -3.599781215,      -2.092865281,       -10.0505464
          0,           0,         111,      -4.573852678,        -3.7729526,      -3.608745732,      -2.085348125,       -10.0447604
          0,           0,         112,      -4.567605327,      -3.781348647,      -3.614708371,      -2.079021292,      -10.03980387
          0,           0,         113,      -4.562719583,      -3.785915807,      -3.617345353,      -2.074068012,      -10.03572353
          0,           0,         114,      -4.559313437,      -3.786558959,      -3.616556356,      -2.070603895,      -10.03251058
          0,           0,         115,      -4.557447667,      -3.783526846,      -3.612477231,      -2.068688305,      -10.03018436
          0,           0,         116,      -4.557136046,      -3.777344414,       -3.60545162,      -2.068334494,      -10.02871288
