Points_0,Pressure_Coefficient,,,,,,,,,,,,,,,,,,,,,,,
0.029228,-0.898587,,,,,,,,,,,,,,,,,,,,,,,
0.029228,0.363467,,,,,,,,,,,,,,,,,,,,,,,
1,0.00183235,,,,,,,,,,,,,,,,,,,,,,,
-1,-0.0221494,,,,,,,,,,,,,,,,,,,,,,,
-1,0.0204779,,,,,,,,,,,,,,,,,,,,,,,
1,-0.0294804,,,,,,,,,,,,,,,,,,,,,,,
1,0.0207311,,,,,,,,,,,,,,,,,,,,,,,
10,-0.00719084,,,,,,,,,,,,,,,,,,,,,,,
10,0.00917475,,,,,,,,,,,,,,,,,,,,,,,
10,-0.0146865,,,,,,,,,,,,,,,,,,,,,,,
-1.1787,0.0203174,,,,,,,,,,,,,,,,,,,,,,,
-1.35502,0.0200472,,,,,,,,,,,,,,,,,,,,,,,
-1.52861,0.0197812,,,,,,,,,,,,,,,,,,,,,,,
-1.69911,0.0194548,,,,,,,,,,,,,,,,,,,,,,,
-1.86617,0.0191058,,,,,,,,,,,,,,,,,,,,,,,
-2.02947,0.0187262,,,,,,,,,,,,,,,,,,,,,,,
-2.18867,0.0183258,,,,,,,,,,,,,,,,,,,,,,,
-2.34345,0.0179027,,,,,,,,,,,,,,,,,,,,,,,
-2.49349,0.0174609,,,,,,,,,,,,,,,,,,,,,,,
-2.6385,0.0170006,,,,,,,,,,,,,,,,,,,,,,,
-2.77818,0.0165238,,,,,,,,,,,,,,,,,,,,,,,
-2.91226,0.0160312,,,,,,,,,,,,,,,,,,,,,,,
-3.04045,0.0155243,,,,,,,,,,,,,,,,,,,,,,,
-3.1625,0.0150036,,,,,,,,,,,,,,,,,,,,,,,
-3.27816,0.0144702,,,,,,,,,,,,,,,,,,,,,,,
-3.3872,0.0139246,,,,,,,,,,,,,,,,,,,,,,,
-3.4894,0.0133675,,,,,,,,,,,,,,,,,,,,,,,
-3.58456,0.0127993,,,,,,,,,,,,,,,,,,,,,,,
-3.67247,0.0122202,,,,,,,,,,,,,,,,,,,,,,,
-3.75297,0.0116305,,,,,,,,,,,,,,,,,,,,,,,
-3.82589,0.0110304,,,,,,,,,,,,,,,,,,,,,,,
-3.89109,0.0104196,,,,,,,,,,,,,,,,,,,,,,,
-3.94842,0.00979823,,,,,,,,,,,,,,,,,,,,,,,
-3.99778,0.00916594,,,,,,,,,,,,,,,,,,,,,,,
-4.03907,0.00852244,,,,,,,,,,,,,,,,,,,,,,,
-4.0722,0.00786728,,,,,,,,,,,,,,,,,,,,,,,
-4.09711,0.00720005,,,,,,,,,,,,,,,,,,,,,,,
-4.11374,0.00652015,,,,,,,,,,,,,,,,,,,,,,,
-4.12206,0.00582692,,,,,,,,,,,,,,,,,,,,,,,
-4.12206,0.00511977,,,,,,,,,,,,,,,,,,,,,,,
-4.11374,0.00439789,,,,,,,,,,,,,,,,,,,,,,,
-4.09711,0.0036606,,,,,,,,,,,,,,,,,,,,,,,
-4.0722,0.00290713,,,,,,,,,,,,,,,,,,,,,,,
-4.03907,0.00213662,,,,,,,,,,,,,,,,,,,,,,,
-3.99778,0.00134843,,,,,,,,,,,,,,,,,,,,,,,
-3.94842,0.000541783,,,,,,,,,,,,,,,,,,,,,,,
-3.89109,-0.000284044,,,,,,,,,,,,,,,,,,,,,,,
-3.82589,-0.00112961,,,,,,,,,,,,,,,,,,,,,,,
-3.75297,-0.00199544,,,,,,,,,,,,,,,,,,,,,,,
-3.67247,-0.00288199,,,,,,,,,,,,,,,,,,,,,,,
