"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.455922249,      -9.281194892,        -10.072253,      -10.04715678,      -3.848756209,      -11.49764218
          0,           0,           1,      -4.886866723,      -4.823353615,       -5.33887306,      -4.562393227,      -4.260651773,      -11.53430593
          0,           0,           2,      -4.925401534,       -4.78749771,      -5.111020862,      -4.830996647,      -4.309505136,      -11.33184349
          0,           0,           3,      -5.011060822,      -4.845287313,       -5.01811056,       -4.85345945,      -4.416638277,        -11.485816
          0,           0,           4,      -5.009563574,      -4.859863202,      -4.982321052,      -4.828784444,      -4.416819879,       -11.4944875
          0,           0,           5,      -5.012890502,      -4.857635044,      -4.962260231,      -4.808482671,      -4.416051096,      -11.48625632
          0,           0,           6,      -5.036812636,      -4.860736748,      -4.940288296,      -4.804341672,      -4.439043709,      -11.48664989
          0,           0,           7,      -5.064661891,      -4.864984527,      -4.918912451,      -4.815120092,      -4.466395461,       -11.4779884
          0,           0,           8,       -5.07880447,      -4.864363626,      -4.906835346,      -4.830271156,      -4.476724621,      -11.45759629
          0,           0,           9,      -5.080474921,      -4.863151036,      -4.905793375,      -4.841386098,       -4.47233156,      -11.42904037
          0,           0,          10,      -5.080826766,      -4.866860869,      -4.911642508,      -4.848162227,      -4.467447146,      -11.39172266
          0,           0,          11,      -5.086113012,      -4.876794775,       -4.91959818,      -4.854913049,      -4.469381517,      -11.34185514
          0,           0,          12,      -5.096407814,      -4.891902954,      -4.927562361,      -4.865156426,      -4.477984576,      -11.27568255
          0,           0,          13,      -5.109388301,      -4.911162232,       -4.93607606,      -4.879952043,      -4.490544199,      -11.19382779
          0,           0,          14,      -5.123065353,      -4.933916842,       -4.94650526,      -4.898536764,      -4.504557096,      -11.10002874
          0,           0,          15,       -5.13601654,       -4.95931943,      -4.959712776,      -4.919259376,       -4.51791233,      -11.00175546
          0,           0,          16,      -5.148750925,      -4.986396513,        -4.9759639,      -4.940463023,      -4.530491088,      -10.90783831
          0,           0,          17,      -5.162961066,      -5.014520621,       -4.99514787,      -4.961144149,      -4.543865163,      -10.82014058
          0,           0,          18,      -5.178495803,      -5.043693181,      -5.016916996,      -4.981200341,      -4.558423008,      -10.73266105
          0,           0,          19,      -5.195892444,       -5.07442578,      -5.040804807,      -5.001181892,      -4.575284466,      -10.64339327
          0,           0,          20,      -5.215075352,      -5.107145565,      -5.066306229,      -5.021876414,      -4.594714549,      -10.55418065
          0,           0,          21,      -5.234986377,      -5.141946245,      -5.092866234,      -5.043885012,      -4.615699511,       -10.4613608
          0,           0,          22,      -5.253580549,      -5.178748561,      -5.119890161,      -5.067493243,       -4.63598833,      -10.36863562
          0,           0,          23,      -5.269684632,      -5.217090806,       -5.14685418,      -5.092709104,      -4.653994462,      -10.27874422
          0,           0,          24,       -5.28353556,      -5.256249757,      -5.173486953,       -5.11941848,      -4.669410198,      -10.19519963
          0,           0,          25,      -5.295932642,      -5.295298036,      -5.199800754,      -5.147440084,      -4.682665017,      -10.12133528
          0,           0,          26,      -5.307700526,      -5.333722141,      -5.226000443,      -5.176669603,      -4.694575897,      -10.05569385
          0,           0,          27,      -5.321079526,      -5.371764149,       -5.25241621,      -5.207111924,      -4.707654779,      -10.00136331
          0,           0,          28,       -5.33747216,      -5.409438854,      -5.279442568,        -5.2388678,      -4.723612394,      -9.953285917
          0,           0,          29,      -5.357265533,      -5.447153043,      -5.307503157,       -5.27213232,      -4.743053066,      -9.914275778
          0,           0,          30,      -5.381368502,      -5.484612222,      -5.337007755,      -5.307148908,      -4.766910368,       -9.88335516
          0,           0,          31,        -5.4090827,      -5.522028989,      -5.368335352,      -5.344199339,      -4.794449541,      -9.859388811
          0,           0,          32,      -5.439062277,      -5.559134025,      -5.401756411,      -5.383589871,      -4.824291128,      -9.841201354
          0,           0,          33,      -5.472301247,      -5.594976757,      -5.437386381,       -5.42552022,      -4.857393102,      -9.826194919
