Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.53106,341869,0,-215.461,32.1446,217.846,0.239714,0.315802,-128.417,9.03139,128.735,0.0102159,0.122784,0.823,0.832171,134582,0.609639,306.209,0.206355,-83.8784,5.8879,84.085
1,1.41401,282637,0,-215.461,32.4064,217.884,0.693588,12.5126,-306.319,27.0028,307.762,0.0102151,0.123784,0.823,0.832319,99635,-0.0309787,245.49,8.64658,-216.66,19.0683,217.669
2,1.35312,297464,0,-215.461,31.8274,217.799,0.265668,0.460925,-124.396,10.9625,124.879,0.0102155,0.121572,0.823,0.831993,116679,0.281454,300.393,0.340605,-91.9507,8.10066,92.3075
3,1.26084,277140,0,-215.461,31.4441,217.743,0.257387,0.671128,-112.381,9.725,112.803,0.010213,0.120108,0.823,0.831781,108837,0.137709,300.707,0.532364,-89.1411,7.71274,89.4757
4,1.36626,289936,0,-215.461,30.9825,217.677,0.125168,1.30243,-57.887,10.3959,58.8275,0.0102072,0.118344,0.823,0.831528,115467,0.259244,294.41,0.953343,-42.3632,7.61051,43.052
5,1.24318,266144,0,-215.461,30.4289,217.599,0.161185,1.51582,-68.3558,10.1039,69.1152,0.0101962,0.11623,0.823,0.831229,105688,0.0799761,296.157,1.21932,-54.9959,8.12831,55.6067
6,1.26496,267131,0,-215.461,29.7683,217.508,0.119472,2.19874,-51.1471,8.26154,51.8566,0.0101775,0.113707,0.823,0.83088,106427,0.0935261,293.095,1.73822,-40.436,6.5337,40.9973
7,1.26387,265198,0,-215.461,28.9846,217.402,0.092106,2.93059,-38.6551,9.23735,39.8514,0.0101478,0.110713,0.823,0.830475,105828,0.0825391,291.694,2.31879,-30.5879,7.31014,31.5347
8,1.23295,258471,0,-215.461,28.0613,217.281,0.0927077,3.55787,-37.8229,9.32544,39.1177,0.0101024,0.107186,0.823,0.830012,103140,0.0332712,291.415,2.88561,-30.6756,7.56283,31.7256
9,1.23848,258043,0,-215.461,26.9825,217.144,0.068642,4.56981,-27.154,9.14122,29.0135,0.0100358,0.103065,0.823,0.829489,103081,0.0321832,289.947,3.68985,-21.9258,7.38104,23.4272
10,1.22505,254986,0,-215.461,25.734,216.992,0.0654567,5.48108,-25.0446,9.53658,27.3536,0.0099408,0.0982966,0.823,0.828909,101872,0.0100257,289.689,4.4741,-20.4425,7.78519,22.3276
11,1.21804,252853,0,-215.461,24.3051,216.827,0.0570585,6.59335,-20.7205,9.36278,23.6743,0.00980935,0.0928386,0.823,0.828278,101049,-0.00506671,289.002,5.41311,-17.0118,7.68682,19.4368
12,1.21394,251301,0,-215.461,22.6904,216.652,0.0493081,7.87176,-16.3243,9.27413,20.3582,0.00963218,0.0866709,0.823,0.827607,100452,-0.0160085,288.264,6.48448,-13.4475,7.6397,16.7704
13,1.20599,249068,0,-215.461,20.8917,216.471,0.04445,9.26054,-12.8877,8.91573,18.2028,0.00939931,0.0798004,0.823,0.826913,99571.8,-0.0321377,287.621,7.67879,-10.6871,7.39285,15.0941
14,1.19974,247181,0,-215.461,18.9198,216.29,0.0408954,10.8732,-9.00046,8.80673,16.6371,0.00910038,0.0722684,0.823,0.826217,98826.1,-0.0458066,286.956,9.06299,-7.50255,7.34046,13.8675
15,1.1923,245106,0,-215.461,16.7957,216.115,0.0399404,12.7158,-5.36222,8.33622,16.1226,0.00872506,0.0641548,0.823,0.825543,97998.6,-0.0609765,286.328,10.6649,-4.49738,6.9917,13.5222
16,1.18542,243096,0,-215.461,14.5503,215.952,0.042654,14.8476,-2.22141,8.18238,17.0979,0.00826341,0.0555782,0.823,0.824916,97189,-0.0758167,285.61,12.5251,-1.87408,6.90248,14.4234
17,1.17814,241071,0,-215.461,12.2239,215.807,0.047851,17.42,1.69667,7.5436,19.0589,0.00770646,0.0466918,0.823,0.824359,96366.6,-0.0908917,284.944,14.7861,1.43985,6.40293,16.1771
18,1.1715,239186,0,-215.461,9.86298,215.687,0.0560882,20.4504,5.02002,6.99621,22.1894,0.00704706,0.0376738,0.823,0.823892,95590.2,-0.105124,284.251,17.4567,4.28449,5.97196,18.9409
19,1.16518,237419,0,-215.461,7.51732,215.592,0.0665611,24.0312,8.00696,6.57256,26.1688,0.00628107,0.028714,0.823,0.823525,94850.1,-0.118691,283.578,20.6245,6.87119,5.64072,22.4589
20,1.1583,235585,0,-215.461,5.23561,215.524,0.0784527,28.1943,10.4836,5.78269,30.6311,0.00540873,0.0199985,0.823,0.823261,94071.7,-0.13296,282.923,24.3414,9.05006,4.99231,26.4448
21,1.15169,233912,0,-215.461,3.06167,215.483,0.0924243,33.0391,12.8516,5.31877,35.8473,0.004436,0.0116947,0.823,0.823095,93341.4,-0.146347,282.337,28.6877,11.158,4.61812,31.1258
22,1.14975,233458,0,-215.461,1.03139,215.463,0.106448,38.5552,13.7678,4.50098,41.1864,0.00337487,0.00393963,0.823,0.823016,93088,-0.150993,282.047,33.5338,11.9742,3.91477,35.8221
23,1.14316,232083,0,-215.461,-0.829196,215.463,0.121763,44.5003,13.8576,4.59922,46.8344,0.00224305,-0.0031673,0.823,0.823009,92449.6,-0.162696,281.725,38.9286,12.1221,4.02315,40.9703
24,1.4689,343360,0,-215.461,-10.7821,215.73,0.607487,42.0628,-304.319,5.65481,307.264,-0.0118819,-0.0411845,0.823,0.824116,124479,0.424438,295.21,28.5901,-207.168,3.85846,209.168
25,1.44542,338207,0,-215.461,-10.7104,215.727,0.558654,84.6335,-266.531,6.29512,279.716,-0.0111929,-0.0409106,0.823,0.824092,124411,0.423186,299.84,58.4481,-184.479,4.34026,193.565
26,1.46035,341120,0,-215.461,-10.8079,215.732,0.632687,-21.1824,-316.117,4.27985,316.854,-0.0124825,-0.041283,0.823,0.824129,122694,0.39172,292.682,-14.5077,-216.464,2.92873,216.969
27,1.45538,340351,0,-215.461,-10.8021,215.732,0.621393,-56.8838,-305.607,-0.725974,310.857,-0.0129813,-0.0412612,0.823,0.824136,122855,0.394663,294.066,-39.0799,-209.981,-0.50277,213.588
28,1.41001,327414,0,-215.461,-10.7716,215.73,0.589061,-90.2801,-270.975,4.33576,285.651,-0.0134668,-0.0411447,0.823,0.824138,119372,0.330828,294.901,-63.9275,-192.254,3.05897,202.627
29,1.37626,311652,0,-215.461,-10.7035,215.727,0.532949,-127.959,-216.467,1.65927,251.464,-0.014017,-0.0408845,0.823,0.824134,115468,0.259252,292.272,-93.0072,-157.169,1.1287,182.63
30,1.32473,293217,0,-215.461,-10.5849,215.721,0.456956,-137.632,-153.127,3.0642,205.912,-0.0146038,-0.0404312,0.823,0.824122,110821,0.174067,291.209,-104.353,-115.241,2.30722,155.484
31,1.24623,268977,0,-215.461,-10.4068,215.712,0.37125,-128.309,-91.7342,4.34051,157.788,-0.015196,-0.039751,0.823,0.8241,103591,0.0415392,289.59,-102.971,-73.5551,3.49719,126.592
32,1.1982,254493,0,-215.461,-10.163,215.7,0.295495,-107.196,-54.1026,2.6148,120.104,-0.0157718,-0.0388198,0.823,0.824066,99370.8,-0.0358232,288.815,-89.5819,-44.9854,2.19833,100.267
33,1.10641,229224,0,-215.461,-9.8469,215.686,0.244489,-90.8744,-4.17589,4.45419,91.0793,-0.0163184,-0.0376124,0.823,0.824021,90183.7,-0.204231,283.803,-82.2159,-3.63683,4.0453,82.3957
34,1.05251,212439,0,-215.461,-9.44994,215.668,0.219561,-72.5682,25.6642,3.85023,77.069,-0.0168273,-0.0360961,0.823,0.823963,83842.9,-0.320464,277.499,-68.9462,24.3721,3.65976,73.2187
35,1.04053,208141,0,-215.461,-8.96135,215.647,0.187307,-54.4081,35.0734,3.53618,64.8297,-0.0172892,-0.0342298,0.823,0.823893,82444.9,-0.346092,276.017,-52.2884,33.7046,3.39809,62.3027
36,1.02623,203182,0,-215.461,-8.36834,215.623,0.182713,-39.6125,47.6779,4.3964,62.1422,-0.0176925,-0.0319647,0.823,0.823811,80519.9,-0.381378,273.318,-38.601,46.4526,4.28537,60.5495
37,1.36963,312388,0,-215.461,-10.5819,215.721,0.495108,119.461,-201.519,4.73627,234.314,-0.0104361,-0.0404199,0.823,0.824058,116921,0.285883,297.298,87.3693,-146.941,3.49346,170.989
38,1.33194,297664,0,-215.461,-10.3891,215.711,0.436787,124.151,-156.797,5.67141,200.077,-0.009626,-0.0396835,0.823,0.824012,113030,0.214559,295.582,93.3466,-117.621,4.23026,150.221
39,1.1602,238514,0,-215.461,15.1012,215.989,0.147474,55.9385,-1.10212,14.7935,57.872,-0.0067095,0.0576824,0.823,0.825046,94828.3,-0.119091,284.73,48.2145,-0.950147,12.7508,49.8811
40,1.14573,234665,0,-215.461,12.8247,215.842,0.144954,54.0088,4.75045,14.3143,56.075,-0.00862363,0.0489868,0.823,0.824502,93316.9,-0.146797,283.733,47.1393,4.14635,12.4936,48.9428
41,1.16856,241331,0,-215.461,17.2929,216.154,0.150585,57.0233,-7.4739,15.8216,59.6477,-0.00478915,0.066054,0.823,0.82566,95923.5,-0.0990152,285.959,48.798,-6.39607,13.5394,51.0438
42,1.18081,244658,0,-215.461,19.3618,216.329,0.154004,58.2472,-12.6577,16.056,61.7313,-0.00291343,0.0739568,0.823,0.826321,97217.5,-0.0752936,286.809,49.3286,-10.7207,13.5976,52.2795
43,1.18849,247278,0,-215.461,21.2789,216.509,0.158309,58.7377,-18.7647,17.1295,63.9972,-0.0011246,0.0812793,0.823,0.827005,98221.8,-0.0568857,287.9,49.4219,-15.7887,14.4127,53.8474
44,1.20088,250570,0,-215.461,23.0247,216.688,0.162567,59.5342,-23.7992,17.5735,66.4797,0.000545389,0.0879479,0.823,0.827686,99491.5,-0.033609,288.612,49.5756,-19.8189,14.6336,55.3595
